comparison,modality,variable,n_A,n_B,mean_A,mean_B,median_A,median_B,delta_mean,cohen_d,p_value,fdr_q
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% pDcs d0,56,21,-0.09023384522159092,-0.4003927227456633,-0.9312854030501092,-0.8762854030501095,0.31015887752407234,0.11529678931435139,0.6596797819707874,1.0
canonical_control vs ME_CFS_like_control,immune_pct,immune_pct__% CD4+ M total CCR6+ d0,56,21,24.444565476190473,24.560238095238095,23.560000000000002,22.805,-0.11567261904762205,-0.009699525469639491,0.6596818778184566,1.0
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% CD8+ M CCR4- CXCR3+ d0,56,21,-0.6169960439161637,-0.3684475522489215,-0.7343615222654195,-0.808360775740442,-0.2485484916672422,-0.025440320187812105,0.6596818778184566,1.0
canonical_control vs ME_CFS_like_control,immune_res,immune_res__% CD8+ M CCR6- CXCR3+ d0,56,21,0.5528092846478201,-1.0593191501932135,1.109613559417045,-1.75056094517773,1.6121284348410336,0.16730978841457875,0.6596818778184566,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K00610,57,21,486.9316802289108,472.66201480545925,483.485531462047,463.3947355931415,14.269665423451556,0.16196360061130893,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01118,57,21,17.379221615291787,21.752958530619352,9.22463588793228,13.346482685985144,-4.373736915327566,-0.13131443992814548,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01421,57,21,1369.0927712866974,1338.3171962057675,1246.54906548546,1089.7764350808495,30.77557508092991,0.04179267137259155,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01494,57,21,39.98548614040325,46.78448993094283,28.5303848038898,24.4811119681261,-6.7990037905395795,-0.1486759460975758,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01875,57,21,2838.6469152586833,2653.046539383356,2629.36970669425,2556.07366291493,185.60037587532725,0.2436326665973314,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K01939,57,21,2793.9261916968794,2807.7602947794608,2649.642868600067,2705.8611883147,-13.83410308258135,-0.020029105831800068,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02077,57,21,38.27773880998338,56.012281560933246,25.414735860545,17.84071392152118,-17.734542750949863,-0.2329553218183471,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02434,57,21,837.8234566318547,752.6600005805498,729.4263670705003,701.736604874251,85.16345605130493,0.26196586386239196,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02879,57,21,808.9041916685516,792.0846573494968,770.4061501571795,814.4387529561556,16.81953431905481,0.11011240347562394,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K02904,57,21,186.6906702686945,182.95334056731608,180.857193422829,191.4964867847905,3.737329701378428,0.0931864821668927,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K05795,57,21,74.01841622449415,67.80582987753223,55.87884983231775,55.98215500329805,6.212586346961913,0.07498677636818842,0.6604196921350807,1.0
canonical_control vs ME_CFS_like_control,kegg,kegg__K05995,57,21,456.63206606882,446.5897624811607,435.832054902028,427.36877062815597,10.042303587659319,0.044081462653746496,0.6604196921350807,1.0
